_2MASS,sMmb,Exc,Disk,W2mag,W3mag,W4mag,RA,DEC
b'J15581270-2328364',b'Y',b'XXE',b'D/ET',7.96999979019165,7.880000114440918,6.71999979019165,239.55291666666665,-23.476777777777777
b'J15573430-2321123',b'Y',b'EEE',b'E',8.670000076293945,8.300000190734863,5.579999923706055,239.3929583333333,-23.353416666666668
b'J16052157-1821412',b'Y',b'XEE',b'T',7.239999771118164,6.360000133514404,3.1600000858306885,241.33987499999995,-18.361444444444444
b'J16064385-1908056',b'Y',b'EEE',b'E',8.859999656677246,8.109999656677246,6.789999961853027,241.68274999999997,-19.13486111111111
b'J16064794-1841437',b'Y',b'XEE',b'T',8.75,8.100000381469727,3.930000066757202,241.69975000000002,-18.6955
b'J16120668-3010270',b'Y',b'EEE',b'F',8.8100004196167,6.579999923706055,3.5999999046325684,243.02783333333326,-30.174194444444446
b'J16134781-2747340',b'Y?',b'XEE',b'E',7.929999828338623,7.809999942779541,7.039999961853027,243.44924999999995,-27.79277777777778
b'J15594426-2029232',b'Y',b'EEE',b'F',9.59000015258789,8.069999694824219,6.119999885559082,239.9344583333333,-20.489833333333333
b'J16120505-2043404',b'Y',b'EEE',b'E',8.710000038146973,7.5,5.929999828338623,243.0210416666666,-20.727916666666665
b'J16112601-2631558',b'Y',b'XEE',b'E',9.239999771118164,8.119999885559082,5.980000019073486,242.8584583333333,-26.532194444444443
b'J16093164-2229224',b'Y',b'EEE',b'F',8.649999618530273,6.170000076293945,4.230000019073486,242.3819166666666,-22.489555555555558
b'J16252883-2607538',b'Y',b'XXE',b'D/ET',9.609999656677246,9.239999771118164,7.429999828338623,246.37004166666668,-26.131611111111113
b'J16333496-1832540',b'Y',b'XEE',b'E',9.8100004196167,9.210000038146973,7.71999979019165,248.39570833333332,-18.548305555555558
b'J16023587-2320170',b'Y',b'XEE',b'E',9.789999961853027,8.3100004196167,7.409999847412109,240.64954166666666,-23.338083333333334
b'J16011398-2516281',b'Y',b'EEE',b'E',9.970000267028809,8.789999961853027,6.809999942779541,240.30829166666663,-25.2745
b'J16132190-2136136',b'Y',b'EEE',b'F',9.399999618530273,7.880000114440918,5.409999847412109,243.3412916666666,-21.603805555555557
b'J16194711-2203112',b'Y',b'XEX',b'E',10.100000381469727,9.239999771118164,0.0,244.94633333333329,-22.05311111111111
b'J16041893-2430392',b'Y',b'EEE',b'F',8.229999542236328,6.570000171661377,4.519999980926514,241.07887499999998,-24.510916666666667
b'J16100501-2132318',b'Y',b'EEE',b'F',8.229999542236328,6.25,3.640000104904175,242.52091666666664,-21.542194444444448
b'J16200616-2212385',b'Y',b'XEE',b'E',10.100000381469727,8.479999542236328,7.199999809265137,245.0256666666666,-22.210694444444442
b'J15564244-2039339',b'Y',b'EEE',b'F',9.789999961853027,7.570000171661377,4.630000114440918,239.176875,-20.659499999999998
b'J16271273-2504017',b'Y',b'EEE',b'F',8.640000343322754,7.25,5.480000019073486,246.80308333333332,-25.067166666666665
b'J15583620-1946135',b'Y',b'EEE',b'F',9.739999771118164,7.53000020980835,4.699999809265137,239.6508333333333,-19.770416666666666
b'J16012902-2509069',b'Y',b'EEE',b'F',9.1899995803833,7.239999771118164,5.340000152587891,240.37095833333328,-25.151916666666665
b'J16071403-1702425',b'Y',b'XEE',b'F',10.300000190734863,8.100000381469727,6.46999979019165,241.80841666666666,-17.045194444444448
b'J16145244-2513523',b'Y',b'EEE',b'E',9.949999809265137,9.130000114440918,7.519999980926514,243.71837499999998,-25.23122222222222
b'J16153220-2010236',b'Y',b'EEE',b'F',8.15999984741211,6.679999828338623,4.570000171661377,243.88416666666666,-20.17325
